gender,department_name,assignment_category,employee_position_title,underfilled_job_title,year_first_hired,salary
M,Department of General Services,Fulltime-Regular,Public Service Craftsworker,,2005,64141.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2008,63493.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,2010,68364.67
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2006,63887.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1994,114087.02
F,Department of Police,Fulltime-Regular,Police Sergeant,,2002,103506.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,1994,107128.71
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,2004,97190.31
M,Department of Police,Fulltime-Regular,Police Officer III,,2009,65752.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2005,75453.0
F,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Division Chief,,1988,169543.85
M,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2012,51355.08
M,Department of Technology Services,Fulltime-Regular,Senior Information Technology Specialist,,1995,120768.0
M,Department of Technology Services,Fulltime-Regular,Senior Information Technology Specialist,,2002,118400.0
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2012,88700.01
M,Department of Police,Fulltime-Regular,Police Sergeant,,2004,103506.0
F,Department of Public Libraries,Fulltime-Regular,Library Assistant II,,1978,69222.18
F,Department of Public Libraries,Parttime-Regular,Library Associate II,,1997,38831.29
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Lieutenant,,2004,97596.0
M,Department of Environmental Protection,Fulltime-Regular,Program Manager II,,2007,100009.77
M,Department of Police,Fulltime-Regular,Police Officer III,,1997,89620.0
F,Department of Public Libraries,Parttime-Regular,Library Associate,,2004,23970.15
M,Department of Police,Fulltime-Regular,Police Officer III,,2002,83658.0
F,Department of Environmental Protection,Fulltime-Regular,Executive Administrative Aide,,2005,63197.03
F,Department of Health and Human Services,Fulltime-Regular,Administrative Specialist III,,1998,93396.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,55328.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Department of Police,Fulltime-Regular,Traffic Enforcement Field Service Technician II,,2015,40953.87
F,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,Permitting and Code Enforcement Inspector II,2012,68971.62
M,Department of Police,Parttime-Regular,Police Cadet,,2016,16049.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,1983,100849.36
F,Correction and Rehabilitation,Fulltime-Regular,Accountant/Auditor III,,2001,93396.0
F,Department of Police,Fulltime-Regular,Forensic Scientist,,2014,73301.22
M,Department of Health and Human Services,Parttime-Regular,Principal Administrative Aide,,2014,19378.39
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2005,50697.93
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2013,62620.0
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),Correctional Officer II (PFC),2015,48145.0
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,2002,85854.0
M,Department of Liquor Control,Fulltime-Regular,Truck Driver/Warehouse Worker,,2006,49949.25
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2007,29779.07
M,Department of Transportation,Fulltime-Regular,Public Service Worker III,,1996,57476.06
M,Community Engagement Cluster,Fulltime-Regular,Urban District Public Service Aide,,2005,40843.75
F,Department of Permitting Services,Fulltime-Regular,Permit Technician III,,1994,79663.29
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff Sergeant,,1999,93945.0
M,Department of Transportation,Fulltime-Regular,Work Force Leader II,,2011,49947.16
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2015,75737.22
M,Department of Police,Fulltime-Regular,Program Specialist II,,2005,72247.14
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2014,56478.0
M,Department of Transportation,Fulltime-Regular,Transit Operations Supervisor,,1993,78889.86
M,Department of General Services,Fulltime-Regular,Capital Projects Manager,,2006,118400.0
F,Sheriff's Office,Fulltime-Regular,Program Manager I,,2005,90006.97
F,Department of Public Libraries,Fulltime-Regular,Librarian I,,2013,56475.48
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff III,,2006,69475.0
M,Correction and Rehabilitation,Fulltime-Regular,Laboratory Assistant,,2013,41781.91
F,Department of Permitting Services,Fulltime-Regular,Permit Technician III,Permit Technician II,2008,51289.57
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,,1981,96197.88
F,Department of Health and Human Services,Fulltime-Regular,Manager III,,2001,124286.7
M,Department of Transportation,Fulltime-Regular,Capital Projects Manager,,2006,104087.85
F,Department of Health and Human Services,Fulltime-Regular,Office Services Coordinator,,1984,69222.18
F,Department of Transportation,Fulltime-Regular,Planning Specialist III,,2001,93396.0
F,Department of Recreation,Fulltime-Regular,Manager III,,1981,116042.92
F,Department of Health and Human Services,Fulltime-Regular,Program Manager II,,2007,95265.37
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,1997,77328.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2007,64622.0
F,Correction and Rehabilitation,Fulltime-Regular,Licensed Practical Nurse (C and R),,2005,68065.33
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Battalion Chief,,1995,131348.75
F,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2010,57265.0
M,Department of Housing and Community Affairs,Fulltime-Regular,Housing Code Inspector III,,2004,77051.34
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2008,62903.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2002,74713.0
M,Department of Transportation,Fulltime-Regular,Transit Coordinator,,1999,69459.43
F,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2015,51969.0
F,Department of Health and Human Services,Fulltime-Regular,Management and Budget Specialist III,,1986,102664.0
F,Department of Health and Human Services,Fulltime-Regular,Office Services Coordinator,,1989,69222.18
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1999,64141.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2005,77787.0
F,Sheriff's Office,Fulltime-Regular,Deputy Sheriff III,,2002,79728.0
F,Department of Transportation,Fulltime-Regular,Manager III,,2016,104733.06
F,Department of Health and Human Services,Fulltime-Regular,Social Worker II,,2015,58512.07
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1986,118080.06
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,1980,76015.03
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2005,52472.36
F,Department of Police,Fulltime-Regular,Public Safety Communications Specialist III,Public Safety Communications Specialist I,2016,41220.18
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1998,110229.0
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2016,27805.44
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2015,80002.98
M,Department of Technology Services,Fulltime-Regular,Manager III,,2003,135378.04
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2003,73801.0
M,Department of Recreation,Fulltime-Regular,Director Department of Recreation,,2007,184314.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1991,92756.7
M,Department of General Services,Fulltime-Regular,Supply Technician III,,2007,58440.3
M,Department of Police,Fulltime-Regular,Police Officer III,,1998,89620.0
F,Department of Liquor Control,Fulltime-Regular,Liquor Store Clerk II,,2014,40946.26
M,Fire and Rescue Services,Fulltime-Regular,Public Safety Communications Specialist III,Public Safety Communications Specialist II,1998,52031.02
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,Permitting and Code Enforcement Inspector II,2015,63658.71
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2000,97912.0
M,Department of Permitting Services,Fulltime-Regular,Permitting and Code Enforcement Inspector III,,2014,63107.38
F,Department of Police,Fulltime-Regular,Police Officer III,,2001,86588.0
F,Department of Environmental Protection,Fulltime-Regular,Engineer III,,2009,99939.88
M,Department of Transportation,Fulltime-Regular,Shift Supervisor Transportation Management Center,,1993,93396.0
F,Department of Transportation,Fulltime-Regular,Senior Executive Administrative Aide,,2016,70000.0
F,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
M,Community Engagement Cluster,Fulltime-Regular,Public Service Worker II,,2012,38004.12
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,,2012,68595.41
F,Department of Recreation,Fulltime-Regular,Program Aide,,2007,55589.87
M,Department of Police,Fulltime-Regular,Police Officer III,,2005,75453.0
F,Community Engagement Cluster,Fulltime-Regular,Director Regional Services Center,,2015,155000.0
M,Offices of the County Executive,Fulltime-Regular,Chief Administrative Officer,,1979,303091.0
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,1993,100849.36
M,Department of Transportation,Fulltime-Regular,Equipment Operator II,,2004,52110.67
M,Fire and Rescue Services,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,,2013,65943.48
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,1998,97560.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,57365.0
F,Department of Police,Fulltime-Regular,Animal Care Attendant,,2013,41781.91
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1988,126781.06
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Specialist III,,1999,97912.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,2000,97912.0
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Specialist III,,2009,65644.0
M,Department of Recreation,Fulltime-Regular,Recreation Specialist,,2011,62417.64
M,Correction and Rehabilitation,Fulltime-Regular,Manager III,,1997,102659.52
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2012,60501.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker III,,2006,75524.37
M,County Council,Fulltime-Regular,Program Manager I,,2010,84019.97
F,Correction and Rehabilitation,Fulltime-Regular,Correctional Supervisor (Sergeant),,2000,88436.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,56990.0
M,Department of Technology Services,Fulltime-Regular,Manager III,,1994,125884.02
F,Department of Police,Fulltime-Regular,Police Officer III,,1986,92756.7
M,Department of Health and Human Services,Fulltime-Regular,Therapist II,,2008,67235.97
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2015,51969.0
F,Office of Procurement,Fulltime-Regular,Principal Administrative Aide,,2000,58448.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2013,58455.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2007,48258.81
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2004,67486.85
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2004,55123.38
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2008,70884.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,1996,79628.76
F,Department of Police,Fulltime-Regular,Police Aide,,2007,47670.09
M,Department of Permitting Services,Fulltime-Regular,Senior Permitting Services Specialist,,1988,110886.71
F,County Attorney's Office,Parttime-Regular,Office Clerk,,2013,17269.0
F,Office of Emergency Management and Homeland Security,Fulltime-Regular,Management and Budget Specialist III,,1996,102664.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2008,68054.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2007,70435.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2001,73801.0
F,Department of Housing and Community Affairs,Fulltime-Regular,Investigator III,,1995,93127.75
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2007,65716.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2004,78096.0
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,Equipment Operator Apprentice,2016,33395.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2012,43525.72
M,Department of Police,Fulltime-Regular,Police Officer III,,1997,89620.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2000,80784.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2010,65752.0
F,Department of Health and Human Services,Fulltime-Regular,Principal Administrative Aide,,1975,60201.44
M,Department of Police,Fulltime-Regular,Police Sergeant,,2006,84201.0
M,Department of Liquor Control,Fulltime-Regular,Warehouse Equipment Operator,,1987,60201.44
M,Department of Police,Fulltime-Regular,Police Officer III,,1996,92756.7
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Dietary Officer II,,2011,49104.52
F,County Council,Fulltime-Regular,Legislative Analyst III,,1967,120768.0
M,Department of Police,Fulltime-Regular,Master Police Officer,,2002,87841.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2014,36797.13
M,Department of Transportation,Fulltime-Regular,Motor Pool Attendant,,2008,36493.52
M,Office of Agriculture,Fulltime-Regular,Manager II,,1988,156525.0
M,Department of Police,Fulltime-Regular,Police Services Assistant,,2007,50825.19
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2008,30820.88
M,Department of General Services,Fulltime-Regular,Manager III,,2012,127229.18
M,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2012,51355.08
F,Department of Health and Human Services,Fulltime-Regular,Legal Secretary II,,2006,52081.6
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,59027.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
M,Department of Public Libraries,Fulltime-Regular,Senior Librarian,,2003,79750.01
M,Department of Police,Fulltime-Regular,Police Officer Candidate,,2016,55671.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1999,60714.58
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2014,40368.82
M,Department of Police,Fulltime-Regular,Police Officer III,,2007,83658.0
M,Department of Public Libraries,Fulltime-Regular,Manager III,,1996,135043.61
F,Department of Health and Human Services,Fulltime-Regular,Client Assistance Specialist,,1988,83497.98
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2013,58773.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Lieutenant,,1987,104717.6
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2012,36797.08
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist III,,1997,81263.62
F,Department of General Services,Fulltime-Regular,Building Services Supervisor,,1972,65423.82
M,Department of Liquor Control,Fulltime-Regular,Information Technology Technician III,,1999,73819.32
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Supervisor (Sergeant),,1990,94277.96
M,Department of Police,Fulltime-Regular,Police Officer III,,2007,70435.0
M,Board of Elections,Fulltime-Regular,Program Specialist II,,2000,81824.52
M,Department of Police,Fulltime-Regular,Police Officer III,,2007,70435.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2002,74713.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker IV,,1997,79298.55
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2012,37838.46
M,Department of Transportation,Fulltime-Regular,Lead Revenue Counter,,1990,60201.44
F,Department of Police,Fulltime-Regular,Police Aide,,2005,64141.0
F,Fire and Rescue Services,Fulltime-Regular,Public Safety Communications Specialist III,Public Safety Communications Specialist II,2012,52031.02
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2012,57265.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Lieutenant,,1986,106754.6
M,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,2002,63919.14
M,Department of General Services,Fulltime-Regular,Supply Technician II,,2001,67863.01
M,Department of Transportation,Fulltime-Regular,Engineer III,,2005,112930.4
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1989,66065.23
F,Department of Health and Human Services,Fulltime-Regular,Office Services Coordinator,,2016,42000.0
M,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Lieutenant,,2004,88168.0
F,Department of Environmental Protection,Fulltime-Regular,Program Specialist I,,2005,69963.56
M,Department of Police,Fulltime-Regular,Master Police Officer,,2003,84871.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2009,37838.46
F,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
F,Department of Health and Human Services,Fulltime-Regular,Social Worker II,,2013,62678.97
F,Department of Transportation,Fulltime-Regular,Program Manager II,,2014,88136.06
F,Department of Police,Parttime-Regular,Crossing Guard,,2004,21030.74
M,Department of Police,Fulltime-Regular,Police Sergeant,,1996,107128.71
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1985,66065.23
F,Fire and Rescue Services,Fulltime-Regular,Fire/Rescue Captain,,1998,112266.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2007,69573.0
M,Department of Transportation,Fulltime-Regular,Manager I,,1992,175127.0
F,Department of Transportation,Fulltime-Regular,Manager III,,1999,134886.84
M,Department of Health and Human Services,Fulltime-Regular,Therapist II,Therapist I,2009,60402.79
M,Department of Police,Fulltime-Regular,Police Sergeant,,2006,84201.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2010,65752.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Specialist II,,2007,64588.09
M,County Council,Fulltime-Regular,Public Administration Intern,,2016,52000.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2004,78096.0
M,Fire and Rescue Services,Fulltime-Regular,Messenger-Clerk,,2012,41897.13
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Specialist II,,1996,83497.98
F,Department of Police,Parttime-Regular,Crossing Guard,,2015,16610.68
M,Department of Transportation,Fulltime-Regular,Information Technology Specialist III,,2005,107657.0
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
F,Correction and Rehabilitation,Fulltime-Regular,Manager II,,1990,147267.07
M,Department of Liquor Control,Fulltime-Regular,Liquor Store Clerk II,,2009,45413.56
M,Department of General Services,Fulltime-Regular,Manager III,,2004,133720.77
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,1988,63067.93
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Dietary Officer II,,2007,69316.94
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2006,64776.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1997,89620.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2003,46516.83
M,Department of Technology Services,Fulltime-Regular,Information Technology Specialist III,Information Technology Specialist I,2014,76675.72
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2015,40631.32
F,Department of Public Libraries,Fulltime-Regular,Librarian I,,2014,60091.47
F,Department of Recreation,Fulltime-Regular,Manager III,,1990,117271.79
M,Department of Transportation,Fulltime-Regular,Transit Coordinator,,1993,67665.5
F,Department of Finance,Fulltime-Regular,Administrative Specialist II,,2006,84340.28
M,Department of Health and Human Services,Fulltime-Regular,Manager III,,2007,135392.0
F,Department of Health and Human Services,Fulltime-Regular,Supervisory Therapist,,2015,85606.4
F,Board of Elections,Fulltime-Regular,Manager I,,2001,157996.4
F,Department of Housing and Community Affairs,Fulltime-Regular,Housing Code Inspector III,Housing Code Inspector II,2007,63699.42
F,Department of Permitting Services,Fulltime-Regular,Permit Technician III,Permit Technician II,2006,60526.62
F,Department of Public Libraries,Fulltime-Regular,Librarian I,,2014,55054.21
M,Offices of the County Executive,Parttime-Regular,Special Assistant to County Executive,,1973,122300.0
M,Department of Police,Fulltime-Regular,Police Sergeant,,2005,87148.0
M,Department of Police,Fulltime-Regular,Police Officer III,,1995,92756.7
F,Department of Police,Fulltime-Regular,Executive Administrative Aide,,2001,60653.7
F,Department of Transportation,Fulltime-Regular,Transit Marketing Specialist,,2000,84974.0
F,Department of Health and Human Services,Fulltime-Regular,Nurse Manager,,1998,102664.0
F,Department of Police,Fulltime-Regular,Forensic Scientist,,2006,78740.52
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,55328.0
M,Department of Transportation,Fulltime-Regular,Manager III,,1998,135392.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2013,58455.0
M,Office of Legislative Oversight,Fulltime-Regular,Manager II,,1986,156519.88
M,Department of Recreation,Fulltime-Regular,Senior Pool Manager,,2011,44753.0
M,Office of Human Resources,Fulltime-Regular,Human Resources Specialist III,Human Resources Specialist I,2013,60581.15
M,Department of Transportation,Fulltime-Regular,Bus Operator,,1999,64141.0
F,Board of Appeals Department,Fulltime-Regular,Manager III,,2005,135392.0
F,Correction and Rehabilitation,Fulltime-Regular,Office Services Coordinator,,2001,66522.96
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2008,46626.87
F,Department of Police,Parttime-Regular,Crossing Guard,,2000,24978.81
F,Department of Police,Fulltime-Regular,Public Safety Emergency Communications Supervisor,,2000,87053.98
F,Department of Police,Parttime-Regular,Crossing Guard,,1987,26208.35
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2007,63493.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,45049.12
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,2004,80145.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2006,63887.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2003,55122.12
F,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2015,28772.17
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2014,35552.77
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,,2013,55328.0
F,Department of Public Libraries,Fulltime-Regular,Library Assistant I,,1999,58448.0
M,Department of Police,Parttime-Regular,Crossing Guard,,2007,19727.77
M,Department of Transportation,Fulltime-Regular,Construction Representative III,,1974,96197.88
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer I,2014,53788.0
M,Department of Recreation,Parttime-Regular,Recreation Coordinator,,2007,25750.0
M,Department of Police,Fulltime-Regular,Police Officer III,,2006,86588.0
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2006,97912.0
M,Department of General Services,Fulltime-Regular,Building Services Inspector,,1990,57476.06
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,56990.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),Correctional Officer II (PFC),2002,67922.0
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2014,60501.0
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,,1988,100849.36
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2012,58720.0
F,County Attorney's Office,Fulltime-Regular,Assistant County Attorney III,Assistant County Attorney II,2010,96359.63
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2007,48260.15
M,Department of Police,Fulltime-Regular,Police Officer III,,2006,72902.0
F,Office of Procurement,Fulltime-Regular,Procurement Specialist IV,Procurement Specialist I,2014,54875.99
M,Department of Transportation,Fulltime-Regular,Engineer III,,2001,102664.0
F,Department of Health and Human Services,Parttime-Regular,School Health Room Technician I,,2010,37838.46
F,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2015,45261.0
F,Department of Technology Services,Fulltime-Regular,Permitting and Code Enforcement Inspector II,,2010,68971.62
F,Correction and Rehabilitation,Fulltime-Regular,Manager III,,2000,130018.88
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Dietary Officer II,,2009,49104.04
M,Department of Transportation,Fulltime-Regular,Manager III,,2012,110213.2
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Supervisor (Sergeant),,1990,94277.96
F,Department of Finance,Fulltime-Regular,Manager II,,2012,156516.46
F,Office of Procurement,Fulltime-Regular,Manager III,,1990,128325.25
M,Department of General Services,Fulltime-Regular,Property Manager II,,1987,99870.24
M,Department of Environmental Protection,Fulltime-Regular,Code Enforcement Inspector III,,2001,81066.0
F,Department of Police,Parttime-Regular,Crossing Guard,,2004,21766.2
M,Correction and Rehabilitation,Fulltime-Regular,Resident Supervisor III,,2002,75604.05
F,Department of Police,Fulltime-Regular,Code Enforcement Inspector III,,2013,54709.01
M,Department of Liquor Control,Fulltime-Regular,Truck Driver/Warehouse Worker,,1999,61894.52
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Dietary Officer II,,2008,49104.65
F,Department of Health and Human Services,Fulltime-Regular,Therapist II,,2001,97912.0
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2006,50699.16
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,1998,97912.0
F,Correction and Rehabilitation,Fulltime-Regular,Supervisory Therapist,,2003,98507.48
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,2006,82206.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,1995,76015.03
M,Department of Transportation,Fulltime-Regular,Equipment Operator I,,2005,46939.47
M,Department of Transportation,Fulltime-Regular,Bus Operator,,2013,45049.12
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff Sergeant,,1994,96763.35
M,Correction and Rehabilitation,Fulltime-Regular,Correctional Officer III (Corporal),,2001,77328.0
M,Department of Transportation,Fulltime-Regular,Work Force Leader II,,2003,62294.4
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2013,58455.0
F,Department of Police,Parttime-Regular,Crossing Guard,,1999,25445.0
F,Department of Health and Human Services,Fulltime-Regular,Community Services Aide III,,1990,76015.03
F,Department of Health and Human Services,Fulltime-Regular,Income Assistance Program Supervisor,,1989,97912.0
M,Fire and Rescue Services,Fulltime-Regular,Master Firefighter/Rescuer,,1998,97560.0
M,Department of Police,Fulltime-Regular,Information Technology Specialist III,,2016,98490.0
M,Sheriff's Office,Fulltime-Regular,Deputy Sheriff Sergeant,,2001,93945.0
M,Department of General Services,Fulltime-Regular,Mechanic Technician II,,2013,62269.04
M,Department of Police,Fulltime-Regular,Police Officer III,Police Officer II,2010,62620.0
F,Department of Health and Human Services,Fulltime-Regular,Community Health Nurse II,,2015,72094.53
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer I (Recruit),2016,45261.0
F,Department of Police,Parttime-Regular,Police Officer III,,2008,35217.5
M,Department of Transportation,Fulltime-Regular,Transit Coordinator,,2007,53084.69
F,Department of Health and Human Services,Fulltime-Regular,Dental Assistant,,2012,55443.86
M,Department of Liquor Control,Parttime-Regular,Liquor Store Clerk I,,2012,29779.07
F,Department of General Services,Fulltime-Regular,Building Services Worker II,,2007,36386.93
M,Fire and Rescue Services,Fulltime-Regular,Firefighter/Rescuer III,Firefighter/Rescuer II,2014,50910.0
F,Department of Transportation,Fulltime-Regular,Senior Financial Specialist,,1999,97020.69
M,Department of Transportation,Fulltime-Regular,Executive Administrative Aide,,2007,65000.0
F,Sheriff's Office,Fulltime-Regular,Deputy Sheriff III,,2003,77029.0
M,Department of Recreation,Fulltime-Regular,Recreation Specialist,,1980,87523.22
